Time,Highest Temperature,Lowest Temperature, Highest Thermistor ID, Lowest Thermistor ID,Thermistor 1,Thermistor 2,Thermistor 3,Thermistor 4,Thermistor 5,Thermistor 6,Thermistor 7,Thermistor 8,Thermistor 9,Thermistor 10,Thermistor 11,Thermistor 12,Thermistor 13,Thermistor 14,Thermistor 15,Thermistor 16,Thermistor 17,Thermistor 18,Thermistor 19,Thermistor 20,Thermistor 21,Thermistor 22,Thermistor 23,Thermistor 24,Thermistor 25,Thermistor 26,Thermistor 27,Thermistor 28,Thermistor 29,Thermistor 30,Thermistor 31,Thermistor 32,Thermistor 33,Thermistor 34,Thermistor 35,Thermistor 36,Thermistor 37,Thermistor 38,Thermistor 39,Thermistor 40,Thermistor 41,Thermistor 42,Thermistor 43,Thermistor 44,Thermistor 45,Thermistor 46,Thermistor 47,Thermistor 48,Thermistor 49,Thermistor 50,Thermistor 51,Thermistor 52,Thermistor 53,Thermistor 54,Thermistor 55,Thermistor 56,Thermistor 57,Thermistor 58,Thermistor 59,Thermistor 60,Thermistor 61,Thermistor 62,Thermistor 63,Thermistor 64,Thermistor 65,Thermistor 66,Thermistor 67,Thermistor 68,Thermistor 69,Thermistor 70,Thermistor 71,Thermistor 72,Thermistor 73,Thermistor 74,Thermistor 75,Thermistor 76,Thermistor 77,Thermistor 78,Thermistor 79,Thermistor 80
Fri Jul 5 12:50:29 CLT 2024, 24, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,24,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,12,,12,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:30 CLT 2024, 24, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,24,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,12,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:31 CLT 2024, 24, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,24,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,12,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:32 CLT 2024, 24, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,24,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,12,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:33 CLT 2024, 24, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,24,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,12,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:34 CLT 2024, 23, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,23,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,12,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:35 CLT 2024, 23, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,23,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,12,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:36 CLT 2024, 23, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,23,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:37 CLT 2024, 23, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,23,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:38 CLT 2024, 23, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,23,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:39 CLT 2024, 23, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,23,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:40 CLT 2024, 22, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,22,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:41 CLT 2024, 22, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,22,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,12,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:42 CLT 2024, 22, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,22,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,12,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:43 CLT 2024, 22, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,22,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,12,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:44 CLT 2024, 22, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,22,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,12,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:45 CLT 2024, 21, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,21,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,12,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:46 CLT 2024, 21, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,21,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,12,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:47 CLT 2024, 21, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,21,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:48 CLT 2024, 21, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,21,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:49 CLT 2024, 21, 11, 18, 32,13,13,13,13,13,12,13,13,14,13,12,13,12,13,14,13,13,21,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:50 CLT 2024, 20, 11, 18, 32,13,13,13,13,13,12,13,13,18,13,12,13,12,13,14,13,13,20,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:51 CLT 2024, 20, 11, 18, 32,13,13,13,13,13,12,13,13,18,13,12,13,12,13,14,13,13,20,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:52 CLT 2024, 20, 11, 18, 32,13,13,13,13,13,12,13,13,18,13,12,13,12,13,14,13,13,20,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:53 CLT 2024, 20, 11, 18, 32,13,13,13,13,13,12,13,13,18,13,12,13,12,13,14,13,13,20,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:54 CLT 2024, 20, 11, 18, 32,13,13,13,13,13,12,13,13,18,13,12,13,12,13,14,13,13,20,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:55 CLT 2024, 25, 11, 9, 32,13,13,13,13,13,12,13,13,25,13,12,13,12,13,14,13,13,20,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:56 CLT 2024, 25, 11, 9, 32,13,13,13,13,13,12,13,13,25,13,12,13,12,13,14,13,13,20,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:57 CLT 2024, 25, 11, 9, 32,13,13,13,13,13,12,13,13,25,13,12,13,12,13,14,13,13,20,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:58 CLT 2024, 25, 11, 9, 32,13,13,13,13,13,12,13,13,25,13,12,13,12,13,14,13,13,20,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:50:59 CLT 2024, 25, 11, 9, 32,13,13,13,13,13,12,13,13,25,13,12,13,12,13,14,13,13,20,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:00 CLT 2024, 28, 11, 9, 32,13,13,13,13,13,12,13,13,28,13,12,13,12,13,14,13,13,20,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:01 CLT 2024, 28, 11, 9, 32,13,13,13,13,13,12,13,13,28,13,12,13,12,13,14,13,13,19,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:02 CLT 2024, 28, 11, 9, 32,13,13,13,13,13,12,13,13,28,13,12,13,12,13,14,13,13,19,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:03 CLT 2024, 28, 11, 9, 32,13,13,13,13,13,12,13,13,28,13,12,13,12,13,14,13,13,19,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:04 CLT 2024, 28, 11, 9, 32,13,13,13,13,13,12,13,13,28,13,12,13,12,13,14,13,13,19,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:05 CLT 2024, 28, 11, 9, 32,13,13,13,13,13,12,13,13,28,13,12,13,12,13,14,13,13,19,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:06 CLT 2024, 30, 11, 9, 32,13,13,13,13,13,12,13,13,30,13,12,13,12,13,14,13,13,19,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:07 CLT 2024, 30, 11, 9, 32,13,13,13,13,13,12,13,13,30,13,12,13,12,13,14,13,13,19,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:08 CLT 2024, 30, 11, 9, 32,13,13,13,13,13,12,13,13,30,13,12,13,12,13,14,13,13,19,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:09 CLT 2024, 30, 11, 9, 32,13,13,13,13,13,12,13,13,30,13,12,13,12,13,14,13,13,19,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:10 CLT 2024, 30, 11, 9, 32,13,13,13,13,13,12,13,13,30,13,12,13,12,13,14,13,13,19,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:11 CLT 2024, 31, 11, 9, 32,13,13,13,13,13,12,13,13,31,13,12,13,12,13,14,13,13,19,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:12 CLT 2024, 31, 11, 9, 32,13,13,13,13,13,12,13,13,31,13,12,13,12,13,14,13,13,18,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:13 CLT 2024, 31, 11, 9, 32,13,13,13,13,13,12,13,13,31,13,12,13,12,13,14,13,13,18,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:14 CLT 2024, 31, 11, 9, 32,13,13,13,13,13,12,13,13,31,13,12,13,12,13,14,13,13,18,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:15 CLT 2024, 31, 11, 9, 32,13,13,13,13,13,12,13,13,31,13,12,13,12,13,14,13,13,18,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:16 CLT 2024, 31, 11, 9, 32,13,13,13,13,13,12,13,13,31,13,12,13,12,13,14,13,13,18,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:17 CLT 2024, 31, 11, 9, 32,13,13,13,13,13,12,13,13,31,13,12,13,12,13,14,13,13,18,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:18 CLT 2024, 31, 11, 9, 32,13,13,13,13,13,12,13,13,31,13,12,13,12,13,14,13,13,18,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:19 CLT 2024, 31, 11, 9, 32,13,13,13,13,13,12,13,13,31,13,12,13,12,13,14,13,13,18,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:20 CLT 2024, 31, 11, 9, 32,13,13,13,13,13,12,13,13,31,13,12,13,12,13,14,13,13,18,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:21 CLT 2024, 31, 11, 9, 32,13,13,13,13,13,12,13,13,31,13,12,13,12,13,14,13,13,18,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:22 CLT 2024, 31, 11, 9, 32,13,13,13,13,13,12,13,13,31,13,12,13,12,13,14,13,13,18,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:23 CLT 2024, 31, 11, 9, 32,13,13,13,13,13,12,13,13,31,13,12,13,12,13,14,13,13,18,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:24 CLT 2024, 31, 11, 9, 32,13,13,13,13,13,12,13,13,31,13,12,13,12,13,14,13,13,18,14,14,,,,,,,12,13,13,12,13,11,13,13,13,13,13,,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,13,13,14,13,,,,,,,,,,,,,,,,,,,,
Fri Jul 5 12:51:25 CLT 2024, -101, 80, 0, 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
